egoid,usetobacco_6,usebeer_6,usewine_6,usedrugs_6,usedrugs_prescr_6,usecaffine_6
25548,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
25966,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
95444,,,,,,
96689,Not at all,Less than 1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week
22587,,,,,,
43581,Not at all,1-2 times a week,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
75578,,,,,,
43507,,,,,,
91551,,,,,,
30676,,,,,,
19030,,,,,,
33657,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
76521,,,,,,
52848,,,,,,
40231,,,,,,
65656,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
30610,,,,,,
36117,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
82587,Not at all,Less than 1-2 times a month,1-2 times a week,,Not at all,Not at all
14690,,,,,,
40569,,,,,,
97021,,,,,,
26320,Not at all,Not at all,1-2 times a week,Less than 1-2 times a month,Not at all,1-2 times a week
77532,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more
92515,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
97844,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a week
81647,,,,,,
