egoid,usetobacco_7,usebeer_7,usewine_7,usedrugs_7,usedrugs_prescr_7,usecaffine_7
77036,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
53518,,,,,,
92340,,,,,,
37485,,,,,,
33953,,,,,,
53333,,,,,,
82986,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,1-2 times a month
61772,,,,,,
47280,,,,,,
70566,,,,,,
82964,,,,,,
11402,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
38610,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
96610,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
77711,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
48505,,,,,,
78667,,,,,,
17020,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
48676,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
29885,,,,,,
32976,,,,,,
79167,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
65061,,,,,,
43710,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
61389,,,,,,
22455,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
82819,,,,,,
67771,,,,,,
57443,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
96469,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
94579,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
29257,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
23518,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
80484,,,,,,
49539,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more
63904,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
82490,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month
20335,,,,,,
35031,,,,,,
88185,,,,,,
35344,,,,,,
31175,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
41167,,,,,,
98325,Not at all,1-2 times a month,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more
36963,,,,,,
50666,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
98624,,,,,,
42617,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
58793,,,,,,
25125,,,,,,
25548,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
25966,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
95444,,,,,,
