egoid,usetobacco_4,usebeer_4,usewine_4,usedrugs_4,usedrugs_prescr_4,usecaffine_4
44447,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
14571,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a month
69057,Not at all,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more
66629,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
83542,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
18222,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a week
39738,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all
26858,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
93504,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
64232,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,Three times a week or more
37404,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
25961,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
87330,1-2 times a month,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
92028,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
82248,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
28824,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
11482,Not at all,Less than 1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
69936,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
37001,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
70492,Not at all,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month,1-2 times a month
95543,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
21380,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
67106,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
25495,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
26581,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
66642,Not at all,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
83612,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
63954,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
20665,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
19122,Not at all,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all,1-2 times a week
99978,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more
92566,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week
39414,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
35987,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Three times a week or more
66655,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
10547,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
46373,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
79341,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
19591,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
83536,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
66682,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
88337,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
67608,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
19735,Not at all,1-2 times a week,1-2 times a week,1-2 times a month,Not at all,1-2 times a month
42513,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
51952,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
46266,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
61289,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
18743,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
59207,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month
48946,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
86083,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
96613,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month
49014,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
50766,Not at all,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Not at all,Less than 1-2 times a month
71089,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
80980,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
29115,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
98462,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
94455,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
11148,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
88384,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
64302,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
22688,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month
38815,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
34525,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
68404,Not at all,1-2 times a week,1-2 times a week,Not at all,Less than 1-2 times a month,Three times a week or more
71836,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
12748,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
33445,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
83078,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
72160,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
55569,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
72885,Not at all,1-2 times a month,1-2 times a month,1-2 times a week,Less than 1-2 times a month,1-2 times a week
36574,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
71193,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
